"","S1103","S1104","S1105","S1107","S1112","S1113","S1117","S1118","S1119","S1121","S1124","S1125","S1129","S1135","S1137","S1139","S1143","S1144","S1145","S1147","S1182","S1187","S1192","S1196","S1197","S1198","S1201","S1202","S1206","S1207","S1210","S1216","S1218","S1219","S1220","S1230","S1231","S1236","S1238","S1275","S1282","S2051","S2055","S2057","S2061","S2068","S2072","S2076","S2125","S2127","S2130","S2131","S2134","S2135","S2137","S2140","S2141","S2144","S3098","S3101","S3102","S3103","S3117","S3128","S3130","S3145","S3151","S3195","S3200","S3204","S3205","S3207","S3209","S3210","S3211","S3218","S3239","S3240","S3312","S3325","S4070","S4073","S4082","S4089","S4112","S4113","S4114","S4116","S5002","S5003","S5008","S5021","S5030","S5044","S5049","S5053","S5069","S5070","S5214","S5215"
"Gemella",973,753,17,0,1524,0,0,992,0,0,139,265,269,123,131,55,254,238,143,851,224,0,751,26502,80,8132,85,5171,71,0,0,338,43,23,6325,1210,0,26,341,40831,53,272,32821,3385,117,1309,4369,1685,1638,0,2845,38,1458,22680,2139,458,1420,90,8,1034,338,12,1653,177,0,193,302,138,122,101,5322,1158,0,0,3819,240,0,549,1221,0,92,29,0,3966,7365,1281,57,375,203,3525,0,1013,1209,533,161,2859,1,5748,3564,163
"Granulicatella",388,527,0,0,5021,332,0,84,64,82,0,52,0,127,2,5,58,0,0,0,935,0,556,3722,9,36,320,0,40,0,0,410,0,0,10620,287,0,0,0,970,64,52,373,1445,5655,1262,242,221,898,0,0,0,1328,5742,31,13,81,143,4,365,378,0,111,0,29,150,0,406,105,128,0,460,0,0,1174,96,0,7,0,35,255,0,0,309,28,341,21,7,731,1034,0,10,17,57,0,544,13,137,1618,49
"Haemophilus",1116,90603,41,0,35,1086,99884,342,24855,0,25,636,374,25448,23654,5,10548,400,108533,246,759,0,2544,0,40,0,48530,173,38,133593,24,2144,0,9,65642,16342,0,2230,112928,10136,82,620,5297,97756,541,3263,1256,46466,3292,115,0,80,0,25775,1201,71001,23166,5,0,10008,114,16,763,0,693,29858,647,97234,5813,173,45,7220,0,0,2059,17306,8,2,22,42,42455,36993,0,49875,99326,70204,2754,23,8,2482,39521,113,0,9,37,907,4,6434,18486,14379
"Klebsiella",9,487,67628,1604,149,51816,9432,4338,28,60125,0,0,10963,96,25,0,0,0,108,0,0,28486,4,83200,86166,0,1,6,224,0,93986,236,19651,128,1966,0,54,0,0,120,154,0,3630,0,620,17,0,1872,0,13,21,31959,0,349,39,289,34796,0,206,7,18833,20739,0,0,0,7983,0,0,0,0,27735,0,41738,0,0,0,29076,632,17897,86427,0,0,2,0,23411,1087,0,75,9,0,222,6531,3301,3566,0,5533,1,0,0,0
"Lacrimispora",0,0,0,0,0,0,0,0,0,0,0,0,0,5610,0,0,0,0,0,0,0,0,52,18,0,0,0,0,0,0,0,0,0,0,8388,0,0,0,418,0,0,0,0,94,0,330,0,713,0,0,0,0,0,170,0,1431,18,0,0,270,0,0,0,0,0,817,0,0,19,0,0,0,0,0,115,0,0,0,0,0,331,0,0,0,10,0,49,0,0,934,0,0,0,0,0,0,0,519,9,0
"Lactobacillus",31299,14,0,12,0,50,133,26,0,1021,0,11,0,91,0,0,0,0,4,0,32652,4365,0,0,0,0,587,0,0,0,0,49,0,0,0,0,0,510,15,0,0,0,0,0,0,0,0,0,0,491,0,0,0,70,0,0,707,0,0,0,0,22,0,0,0,89,101,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,17,0
"Lactococcus",0,0,0,0,0,0,0,0,43,16848,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligilactobacillus",0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,5,0,0,0,0,0,209,0,43,0,0,0,0,0,72,196,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,20,0,0,0,0,0,0,9702,0,0,0,1896,0,0,0,0,0,59,0
"Limosilactobacillus",17011,25,0,0,0,0,43,0,20,4136,0,0,0,0,0,0,0,0,8,0,16165,503,42,0,0,0,1815,0,0,0,0,2963,0,0,0,0,0,885,4,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,166,49,0,0,0,0,0,0,0,19,7,0,30,54,0,59,0,0,0,532,597,77,0,0,0,3,0,0,0,0,0,0,0,2306,0,0,0,553,0,125,0,0,0,174,317
"Moraxella",7206,92134,9,6403,84071,0,72,0,17545,0,1487,0,54732,39863,3790,25453,12791,0,1292,0,2619,0,13,104,0,5,7117,0,41,87601,0,28985,15,0,0,611,0,17073,165,103,0,0,6,48070,4893,394,0,28441,0,390,0,64209,7,1,0,24233,11428,0,146,2576,4696,0,42677,0,487,187,27070,0,11881,9781,39237,55714,4,0,0,1910,5,8434,0,3257,0,34273,1404,0,14795,0,8774,20,0,14633,33821,0,3,0,0,0,0,17433,244,11152
"Mycoplasma",0,18228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1388,0,82,0,0,0,0,0,6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",4789,69,0,0,21341,0,0,0,18,0,0,775,0,0,0,0,0,15,38,0,0,0,16,0,0,0,0,0,25,0,14,204,20,0,26943,4,0,0,5,592,0,0,45,3629,150,1210,3,11,4800,4,0,40,92,24142,0,643,871,0,0,36,33,0,1,0,0,36,0,0,82,0,0,0,0,0,8023,0,0,0,366,14,0,0,5,0,4,0,0,16,5,0,0,11,0,0,0,1993,22,708,983,9
"Other",1465,610,639,8194,15868,248,127,357,9257,4453,26175,1592,81,442,694,262,2250,887,58,127,6361,11,1324,401,546,283,1136,539,239,1096,582,729,303,358,4028,300,448,366,592,4318,81,400,2903,6071,124,2631,485,1480,1004,121,90,247,213,10373,688,613,6469,674,1259,224,2728,576,3160,70,118,1936,686,379,3788,1490,755,123,294,0,842,799,1048,409,585,168,1372,1896,2870,1946,1398,755,439,472,1402,1095,188,318,931,151,116,279,386,648,960,583
"Porphyromonas",1090,1086,0,0,0,0,0,0,124,0,8262,0,0,29,0,0,112,0,0,0,0,0,578,0,20,0,0,0,24,0,0,843,0,0,36906,0,0,0,1059,1089,0,0,9771,2105,46,1605,185,1528,3599,4,0,628,0,36428,16706,3151,3926,0,0,7,872,0,11,0,0,1694,0,1118,86,0,0,7646,0,0,704,0,0,0,0,3,2557,49,0,864,0,111,0,0,0,2152,0,8,0,0,0,465,2,12719,1720,1213
"Prevotella",0,3665,0,0,3109,5,0,0,0,6557,565,0,0,634,12,0,179,50,0,0,0,0,1156,50,0,13,4930,0,0,4,58,430,0,0,26773,0,0,19,16307,230,0,294,3310,1021,0,1039,0,1593,3140,0,0,10,3,19765,1056,2305,15531,145,0,766,6516,93,1602,0,0,973,831,0,151,0,6181,787,0,0,200,0,12,0,0,1,261,162,55,0,22,523,173,0,7,3883,0,66,41,0,0,28,0,600,2694,120
"Pseudomonas",153,161,429,13955,1005,108,215,321,10290,29633,116098,184,260,94,148,74,226,11,45,460,1067,62,45,80,1763,289,112,4276,142,484,95,212,3012,31584,1972,309,196,116,438,630,29,108,617,123,150,53,67,1840,31,0,13,0,222,406,480,61,7066,57,807,137,37,21,168,56,375,13,0,68,55,1473,246,84,36,2289,430,42,352,64,0,791,31,5085,675,8598,158,19,704,935,18,194,0,10,29,20396,62,80,338,75,198,59
"Pseudostreptobacillus",388,1010,0,0,0,0,0,0,598,0,0,0,0,4543,0,0,0,0,0,0,8,0,32,0,0,0,0,0,6,0,0,385,0,0,18086,0,0,0,936,68,0,2,0,1258,1,1237,0,45,2614,350,0,0,0,10125,0,0,1589,0,0,127,3924,0,0,0,0,501,0,0,65,125,0,0,0,0,1214,0,0,0,3,0,764,36,0,0,18,0,11,0,0,2760,0,0,0,0,0,0,0,199,3494,0
"Rothia",508,28,0,0,0,317,0,0,0,817,5,53,0,490,0,0,17,745,6,48,3856,68,692,0,0,49,44,0,7,0,14726,303,0,0,0,0,216,17,0,286,273,180,801,320,3,12,452,0,52,0,0,0,106,72,24,4,355,1536,0,143,1607,160,78,0,0,0,0,51,568,263,458,576,1520,0,786,23,34,76,46,0,0,0,724,512,187,23,0,36,4,17,3,9,9,18,0,27,736,154,0,25
"Serratia",0,0,0,390,18,0,0,0,2,0,0,0,0,0,1,0,62,0,0,11750,0,0,0,0,0,0,0,0,0,0,84,0,17475,7,158,0,2,0,0,0,0,7,0,0,24,0,0,0,0,0,18765,0,0,0,0,0,0,0,0,52,0,0,0,0,11765,0,69,0,0,46,0,0,2668,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,6,0,0
"Sneathia",0,0,0,0,111959,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,8356,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1527,0,0,0,0,0,85,0,0,0,0,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",162701,3313,768,6411,1232,120,6347,54279,503,2339,249,21063,29312,204,5092,68,0,49498,63,8709,4,2911,19,44845,1533,15180,17390,10266,2302,18090,1005,12690,156,4568,2499,380,34093,84,36,38696,8,36842,55364,69,683,459,30269,3188,15942,33355,2246,44,33270,38703,59777,259,35,13667,12,7,1314,34,20489,33794,31975,57,2375,1496,55,622,1107,0,11392,6223,135,226,61784,229,1682,419,1780,614,939,134,300,199,2616,7008,906,151,28,1075,6341,274,2866,4185,124,50,5576,8244
"Streptococcus",63690,90863,2854,2379,11657,19402,1501,15029,24256,11135,7265,19873,15997,31992,34248,79976,10299,13825,110,1755,65272,329,44423,92253,2854,79722,10552,15567,95073,22198,3237,76515,50,156,30010,9287,3347,7386,13225,165846,286,70185,92055,89716,33420,24133,25770,7984,17275,6647,20302,24274,29396,35043,22045,3488,22007,19064,34160,34578,25283,43433,25933,6146,1161,17990,61672,10009,9025,29977,32284,54007,55715,24364,32703,13403,410,29593,15846,98,25123,15269,483,30342,25856,32209,4260,5998,9849,30543,21097,17274,24765,9705,784,15889,26406,46644,43939,33163
"Ureaplasma",0,0,0,0,5847,0,0,0,27,0,0,0,306,0,0,0,0,0,393,53,0,5,0,471,8,0,0,76,0,0,182,60,50270,0,0,0,0,10,0,0,0,329,119,0,0,0,0,0,0,0,12,0,0,220,0,0,336,0,0,0,0,156,1100,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,15,18,0,0,0,0,0,0,0
"Veillonella",1749,379,0,0,0,27,0,710,0,1310,13,31,0,7,0,25,199,466,9,0,11176,214,5010,47,490,1666,4165,25,107,0,0,82,0,0,7321,0,10,9,19,9396,0,1416,2727,6420,121,2543,22,770,4861,12,1213,228,1120,7015,20738,255,5577,10639,0,414,22165,0,47,0,0,1840,0,760,1378,0,881,0,0,0,678,631,0,14,1,0,1142,29,13,2402,1114,795,57,33,120,1818,0,399,4598,2,0,17,0,872,7993,17
